,0
0,True
1,True
2,True
3,True
4,True
5,True
6,False
7,True
8,True
9,True
0,True
1,False
2,False
3,True
4,False
5,True
6,True
7,True
8,True
9,True
0,True
1,True
2,False
3,True
4,True
5,True
6,True
7,True
8,True
9,True
0,True
1,True
2,False
3,True
4,True
5,True
6,True
7,True
8,True
9,False
0,True
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,False
9,True
